Date,Time,Temperature,Humidity,co,ch4,pm2.5
10/26/2021,11:24:18 PM,30.3,84,5632,8048,292.09
10/26/2021,11:24:13 PM,30.3,84,5616,8032,318.65
10/26/2021,11:24:07 PM,30.3,84,5648,8080,292.09
10/26/2021,11:24:02 PM,30.3,84,5680,8128,358.49
10/26/2021,11:23:57 PM,30.3,84,5728,8144,292.09
10/26/2021,11:23:52 PM,30.4,84,5808,8272,597.56
10/26/2021,11:23:47 PM,30.4,84,5728,8160,292.09
10/26/2021,11:23:42 PM,30.4,84,5648,8080,292.09
10/26/2021,11:23:36 PM,30.3,84,5696,8144,305.37
10/26/2021,11:23:31 PM,30.3,84,5744,8176,305.37
10/26/2021,11:23:26 PM,30.3,84,5744,8160,292.09
10/26/2021,11:23:20 PM,30.3,84,5808,8192,478.02
10/26/2021,11:23:15 PM,30.3,84,5728,8176,292.09
10/26/2021,11:23:10 PM,30.4,84,5792,8240,451.46
10/26/2021,11:23:05 PM,30.4,84,5808,8224,570.99
10/26/2021,11:22:59 PM,30.4,84,5728,8176,292.09
10/26/2021,11:22:54 PM,30.4,84,5728,8160,278.81
10/26/2021,11:22:49 PM,30.4,84,5664,8112,292.09
10/26/2021,11:22:43 PM,30.4,84,5664,8112,292.09
10/26/2021,11:22:39 PM,30.3,84,5696,8144,292.09
10/26/2021,11:22:34 PM,30.4,84,5744,8192,650.68
10/26/2021,11:22:29 PM,30.3,84,5776,8256,517.87
10/26/2021,11:22:23 PM,30.3,84,5808,8304,398.34
10/26/2021,11:22:18 PM,30.4,84,5824,8304,478.02
10/26/2021,11:22:13 PM,30.3,84,5840,8272,305.37
10/26/2021,11:22:08 PM,30.4,84,5872,8320,531.15
10/26/2021,11:22:03 PM,30.4,84,5888,8304,438.18
10/26/2021,11:21:57 PM,30.4,84,5760,8176,292.09
10/26/2021,11:21:52 PM,30.4,84,5712,8128,331.93
10/26/2021,11:21:47 PM,30.4,83,5776,8160,292.09
10/26/2021,11:21:41 PM,30.4,83,5776,8176,292.09
10/26/2021,11:21:36 PM,30.4,83,5856,8240,517.87
10/26/2021,11:21:31 PM,30.4,84,5760,8192,557.71
10/26/2021,11:21:25 PM,30.4,84,5840,8288,491.31
10/26/2021,11:21:20 PM,30.4,83,5904,8320,610.84
10/26/2021,11:21:15 PM,30.4,84,5968,8336,345.21
10/26/2021,11:21:09 PM,30.4,84,5936,8304,371.77
10/26/2021,11:21:04 PM,30.4,83,5888,8224,358.49
10/26/2021,11:20:59 PM,30.4,83,5840,8208,478.02
10/26/2021,11:20:54 PM,30.4,83,5808,8176,292.09
10/26/2021,11:20:48 PM,30.4,83,5792,8192,464.74
10/26/2021,11:20:43 PM,30.4,83,5856,8224,491.31
10/26/2021,11:20:38 PM,30.4,83,5840,8144,292.09
10/26/2021,11:20:33 PM,30.4,83,5888,8208,411.62
10/26/2021,11:20:28 PM,30.4,83,5872,8256,650.68
10/26/2021,11:20:22 PM,30.4,83,5776,8112,292.09
10/26/2021,11:20:17 PM,30.4,83,5824,8144,292.09
10/26/2021,11:20:12 PM,30.4,83,5968,8336,438.18
10/26/2021,11:20:07 PM,30.4,83,5920,8320,557.71
10/26/2021,11:20:02 PM,30.4,83,5952,8352,570.99
10/26/2021,11:19:56 PM,30.4,83,5856,8224,491.31
10/26/2021,11:19:51 PM,30.4,83,5840,8224,531.15
10/26/2021,11:19:46 PM,30.4,84,5904,8272,531.15
10/26/2021,11:19:39 PM,30.4,83,5952,8304,451.46
10/26/2021,11:19:32 PM,30.4,83,5968,8336,385.06
10/26/2021,11:19:26 PM,30.4,83,5904,8288,504.59
10/26/2021,11:19:20 PM,30.4,84,5968,8320,584.28
10/26/2021,11:19:15 PM,30.4,84,5920,8256,424.9
10/26/2021,11:19:10 PM,30.4,84,5904,8240,464.74
10/26/2021,11:19:04 PM,30.4,84,5952,8272,464.74
10/26/2021,11:18:59 PM,30.3,84,5936,8224,438.18
10/26/2021,11:18:54 PM,30.4,84,5968,8272,544.43
10/26/2021,11:18:48 PM,30.4,84,5952,8240,424.9
10/26/2021,11:18:43 PM,30.4,84,5936,8208,491.31
10/26/2021,11:18:38 PM,30.4,84,5920,8192,570.99
10/26/2021,11:18:33 PM,30.4,84,5904,8240,504.59
10/26/2021,11:18:27 PM,30.4,84,5888,8176,292.09
10/26/2021,11:18:22 PM,30.4,84,5904,8192,570.99
10/26/2021,11:18:16 PM,30.4,84,5888,8176,292.09
10/26/2021,11:18:11 PM,30.4,84,5984,8288,398.34
10/26/2021,11:18:05 PM,30.4,84,5968,8320,531.15
10/26/2021,11:18:00 PM,30.4,84,5888,8240,478.02
10/26/2021,11:17:55 PM,30.4,84,5840,8192,557.71
10/26/2021,11:17:49 PM,30.4,84,5872,8208,398.34
10/26/2021,11:17:44 PM,30.4,84,5952,8288,584.28
10/26/2021,11:17:39 PM,30.4,84,5952,8288,385.06
10/26/2021,11:17:34 PM,30.4,84,5984,8288,464.74
10/26/2021,11:17:29 PM,30.4,84,5984,8256,531.15
